URL,页面类型,来源,是否动态,是否被 Sitemap 收录,HTTP 状态,Canonical,标题,描述,是否需要保留,迁移策略,备注
https://www.xinvstar.xyz/devices/,page,build:devices/index.html; build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,我的设备 - xinvStar,我的设备 - xinvStar,是,原样保留,
https://www.xinvstar.xyz/diary,page,code:diary.astro; online:probe,否,否,200,,日记 - xinvStar,随时随地，分享生活,是,原样保留,
https://www.xinvstar.xyz/diary/,page,build:diary/index.html; build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,日记 - xinvStar,随时随地，分享生活,是,原样保留,
https://www.xinvstar.xyz/friends,page,code:friends.astro; online:probe,否,否,200,,友链 - xinvStar,友链,是,原样保留,
https://www.xinvstar.xyz/friends/,page,build:friends/index.html; build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,友链 - xinvStar,友链,是,原样保留,
https://www.xinvstar.xyz/og/[...slug].png,endpoint,code:og/[...slug].png.ts,是,否,N/A,,,,是,等价重建,
https://www.xinvstar.xyz/posts/[...slug],post,code:posts/[...slug].astro,是,否,N/A,,,,是,原样保留,
https://www.xinvstar.xyz/posts/2025-09-21-%E6%B7%B1%E5%85%A5%E7%90%86%E8%A7%A3-javascript-%E4%BA%8B%E4%BB%B6%E5%BE%AA%E7%8E%AF%E4%BB%8E%E5%AE%8F%E4%BB%BB%E5%8A%A1%E5%88%B0%E5%BE%AE%E4%BB%BB%E5%8A%A1/,post,build:posts/2025-09-21-深入理解-javascript-事件循环从宏任务到微任务/index.html; online:probe,否,否,200,,深入理解 JavaScript 事件循环：从宏任务到微任务 - xinvStar,这是一篇关于JavaScript的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-09-21-%E6%B7%B1%E5%85%A5%E7%90%86%E8%A7%A3-javascript-%E4%BA%8B%E4%BB%B6%E5%BE%AA%E7%8E%AF%E4%BB%8E%E5%AE%8F%E4%BB%BB%E5%8A%A1%E5%88%B0%E5%BE%AE%E4%BB%BB%E5%8A%A1/,post,build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,深入理解 JavaScript 事件循环：从宏任务到微任务 - xinvStar,这是一篇关于JavaScript的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-09-28-rust-%E6%89%80%E6%9C%89%E6%9D%83%E7%B3%BB%E7%BB%9F%E8%AF%A6%E8%A7%A3%E4%BB%8E%E5%85%A5%E9%97%A8%E5%88%B0%E5%AE%9E%E8%B7%B5/,post,build:posts/2025-09-28-rust-所有权系统详解从入门到实践/index.html; online:probe,否,否,200,,Rust 所有权系统详解：从入门到实践 - xinvStar,这是一篇关于Rust的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-09-28-rust-%E6%89%80%E6%9C%89%E6%9D%83%E7%B3%BB%E7%BB%9F%E8%AF%A6%E8%A7%A3%E4%BB%8E%E5%85%A5%E9%97%A8%E5%88%B0%E5%AE%9E%E8%B7%B5/,post,build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,Rust 所有权系统详解：从入门到实践 - xinvStar,这是一篇关于Rust的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-10-05-docker-%E5%AE%B9%E5%99%A8%E5%8C%96%E6%9C%80%E4%BD%B3%E5%AE%9E%E8%B7%B5%E4%BB%8E%E5%BC%80%E5%8F%91%E5%88%B0%E7%94%9F%E4%BA%A7/,post,build:posts/2025-10-05-docker-容器化最佳实践从开发到生产/index.html; online:probe,否,否,200,,Docker 容器化最佳实践：从开发到生产 - xinvStar,这是一篇关于Docker的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-10-05-docker-%E5%AE%B9%E5%99%A8%E5%8C%96%E6%9C%80%E4%BD%B3%E5%AE%9E%E8%B7%B5%E4%BB%8E%E5%BC%80%E5%8F%91%E5%88%B0%E7%94%9F%E4%BA%A7/,post,build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,Docker 容器化最佳实践：从开发到生产 - xinvStar,这是一篇关于Docker的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-10-12-typescript-%E9%AB%98%E7%BA%A7%E7%B1%BB%E5%9E%8B%E4%BD%93%E6%93%8D%E4%BD%A0%E7%9C%9F%E7%9A%84%E4%BC%9A%E7%94%A8%E6%B3%9B%E5%9E%8B%E5%90%97/,post,build:posts/2025-10-12-typescript-高级类型体操你真的会用泛型吗/index.html; online:probe,否,否,200,,TypeScript 高级类型体操：你真的会用泛型吗？ - xinvStar,这是一篇关于TypeScript的深度技术文章,是,原样保留,
https://www.xinvstar.xyz/posts/2025-10-12-typescript-%E9%AB%98%E7%BA%A7%E7%B1%BB%E5%9E%8B%E4%BD%93%E6%93%8D%E4%BD%A0%E7%9C%9F%E7%9A%84%E4%BC%9A%E7%94%A8%E6%B3%9B%E5%9E%8B%E5%90%97/,post,build:sitemap-0.xml; online:link; online:probe; online:sitemap,否,是,200,,TypeScript 高级类型体操：你真的会用泛型吗？ - xinvStar,这是一篇关于TypeScript的深度技术文章,是,原样保留,
